"Dataset","Reg","FF","Scr","GSR","Parcellation","xfm","nsub","nses","nscans","nroi","discr"
"FSL223","KKI2009","F","N","S","N","H","L",21,1,42,112,0.791666666666667
"FSL43","KKI2009","F","N","N","G","A","N",21,1,42,117,0.93452380952381
"FSL125","KKI2009","F","N","N","G","A","P",21,1,42,117,0.973809523809524
"FSL224","KKI2009","F","N","N","G","A","L",21,1,42,117,0.942261904761905
"FSL44","KKI2009","F","N","N","G","C","N",21,1,42,201,0.942261904761905
"FSL126","KKI2009","F","N","N","G","C","P",21,1,42,201,0.974404761904762
"FSL225","KKI2009","F","N","N","G","C","L",21,1,42,201,0.930357142857143
"FSL45","KKI2009","F","N","N","G","D","N",21,1,42,71,0.876785714285714
"FSL127","KKI2009","F","N","N","G","D","P",21,1,42,71,0.898809523809524
"FSL226","KKI2009","F","N","N","G","D","L",21,1,42,71,0.84702380952381
"FSL46","KKI2009","F","N","N","G","H","N",21,1,42,112,0.920833333333333
"FSL128","KKI2009","F","N","N","G","H","P",21,1,42,112,0.964285714285714
"FSL227","KKI2009","F","N","N","G","H","L",21,1,42,112,0.921428571428571
"FSL47","KKI2009","F","N","N","N","A","N",21,1,42,117,0.823214285714286
"FSL129","KKI2009","F","N","N","N","A","P",21,1,42,117,0.896428571428571
"FSL228","KKI2009","F","N","N","N","A","L",21,1,42,117,0.838690476190476
"FSL48","KKI2009","F","N","N","N","C","N",21,1,42,201,0.8625
"FSL130","KKI2009","F","N","N","N","C","P",21,1,42,201,0.933333333333333
"FSL229","KKI2009","F","N","N","N","C","L",21,1,42,201,0.829166666666667
"FSL49","KKI2009","F","N","N","N","D","N",21,1,42,71,0.786904761904762
"FSL131","KKI2009","F","N","N","N","D","P",21,1,42,71,0.895833333333333
"FSL230","KKI2009","F","N","N","N","D","L",21,1,42,71,0.755952380952381
"FSL50","KKI2009","F","N","N","N","H","N",21,1,42,112,0.829761904761905
"FSL132","KKI2009","F","N","N","N","H","P",21,1,42,112,0.90297619047619
"FSL231","KKI2009","F","N","N","N","H","L",21,1,42,112,0.822619047619048
"ANT51","NKI24_mx1400","A","F","S","G","A","N",24,2,47,117,0.87104743083004
"ANT133","NKI24_mx1400","A","F","S","G","A","P",24,2,47,117,0.881916996047431
"ANT232","NKI24_mx1400","A","F","S","G","A","L",24,2,47,117,0.863636363636364
"ANT52","NKI24_mx1400","A","F","S","G","C","N",24,2,47,201,0.889328063241107
"ANT134","NKI24_mx1400","A","F","S","G","C","P",24,2,47,201,0.905632411067194
"ANT233","NKI24_mx1400","A","F","S","G","C","L",24,2,47,201,0.883399209486166
"ANT53","NKI24_mx1400","A","F","S","G","D","N",24,2,47,71,0.864130434782609
"ANT135","NKI24_mx1400","A","F","S","G","D","P",24,2,47,71,0.887845849802372
"ANT234","NKI24_mx1400","A","F","S","G","D","L",24,2,47,71,0.834486166007905
"ANT54","NKI24_mx1400","A","F","S","G","H","N",24,2,47,112,0.859683794466403
"ANT136","NKI24_mx1400","A","F","S","G","H","P",24,2,47,112,0.874505928853755
"ANT235","NKI24_mx1400","A","F","S","G","H","L",24,2,47,112,0.866600790513834
"ANT55","NKI24_mx1400","A","F","S","N","A","N",24,2,47,117,0.788537549407115
"ANT137","NKI24_mx1400","A","F","S","N","A","P",24,2,47,117,0.854743083003953
"ANT236","NKI24_mx1400","A","F","S","N","A","L",24,2,47,117,0.731719367588933
"ANT56","NKI24_mx1400","A","F","S","N","C","N",24,2,47,201,0.805830039525692
"ANT138","NKI24_mx1400","A","F","S","N","C","P",24,2,47,201,0.87203557312253
"ANT237","NKI24_mx1400","A","F","S","N","C","L",24,2,47,201,0.731225296442688
"ANT57","NKI24_mx1400","A","F","S","N","D","N",24,2,47,71,0.719861660079051
"ANT139","NKI24_mx1400","A","F","S","N","D","P",24,2,47,71,0.858201581027668
"ANT238","NKI24_mx1400","A","F","S","N","D","L",24,2,47,71,0.677865612648221
"ANT58","NKI24_mx1400","A","F","S","N","H","N",24,2,47,112,0.774703557312253
"ANT140","NKI24_mx1400","A","F","S","N","H","P",24,2,47,112,0.841897233201581
"ANT239","NKI24_mx1400","A","F","S","N","H","L",24,2,47,112,0.781620553359684
"ANT59","NKI24_mx1400","A","F","N","G","A","N",24,2,47,117,0.943181818181818
"ANT141","NKI24_mx1400","A","F","N","G","A","P",24,2,47,117,0.938241106719368
"ANT240","NKI24_mx1400","A","F","N","G","A","L",24,2,47,117,0.938241106719368
"ANT60","NKI24_mx1400","A","F","N","G","C","N",24,2,47,201,0.95899209486166
"ANT142","NKI24_mx1400","A","F","N","G","C","P",24,2,47,201,0.967391304347826
"ANT241","NKI24_mx1400","A","F","N","G","C","L",24,2,47,201,0.967885375494071
"ANT61","NKI24_mx1400","A","F","N","G","D","N",24,2,47,71,0.896245059288538
"ANT143","NKI24_mx1400","A","F","N","G","D","P",24,2,47,71,0.880434782608696
"ANT242","NKI24_mx1400","A","F","N","G","D","L",24,2,47,71,0.865612648221344
"ANT62","NKI24_mx1400","A","F","N","G","H","N",24,2,47,112,0.91403162055336
"ANT144","NKI24_mx1400","A","F","N","G","H","P",24,2,47,112,0.929347826086957
"ANT243","NKI24_mx1400","A","F","N","G","H","L",24,2,47,112,0.898715415019763
"ANT63","NKI24_mx1400","A","F","N","N","A","N",24,2,47,117,0.811264822134387
"ANT145","NKI24_mx1400","A","F","N","N","A","P",24,2,47,117,0.903162055335968
"ANT244","NKI24_mx1400","A","F","N","N","A","L",24,2,47,117,0.758399209486166
"ANT64","NKI24_mx1400","A","F","N","N","C","N",24,2,47,201,0.821640316205534
"ANT146","NKI24_mx1400","A","F","N","N","C","P",24,2,47,201,0.927865612648221
"ANT245","NKI24_mx1400","A","F","N","N","C","L",24,2,47,201,0.774209486166008
